PRO##cpos=PRO|g=m|n=s|p=3|s=neg##	Pro:3Mas+SG+Neg
PRO##cpos=PRO|g=m|n=s|p=3|s=pers##	Pro:3Mas+SG+Pers
PRO##cpos=PRO|g=m|n=s|s=ind##	Pro:Mas+SG+Indef
PRO##cpos=PRO|g=m|n=s|s=ind|pred=y##	Pro:Mas+SG+Indef
PRO##cpos=PRO|mwehead=ADV+|pred=y##	Pro:
PRO##cpos=PRO|mwehead=NPP+|pred=y##	Pro:
PRO##cpos=PRO|mwehead=PRO+|n=p|p=3|s=pers|pred=y##	Pro:PL+P3+Pers
PRO##cpos=PRO|mwehead=PRO+|n=s|p=3|s=pers|pred=y##	Pro:SG+P3+Pers
PRO##cpos=PRO|mwehead=PRO+|s=card|pred=y##	Pro:+Card
PRO##cpos=PRO|n=p|p=2|s=pers|pred=y##	Pro:PL+P2+Pers
PRO##cpos=PRO|s=card|pred=y##	Pro:+Card
PRO+	Pro:
PROREL##cpos=PRO|g=f|n=p|p=3|s=rel##	Pro:3Fem+PL+Rel
PROREL##cpos=PRO|g=f|n=p|s=rel##	Pro:Fem+PL+Rel
PROREL##cpos=PRO|g=f|n=s|p=3|s=rel##	Pro:3Fem+SG+Rel
PROREL##cpos=PRO|g=m|n=p|p=3|s=rel##	Pro:3Mas+PL+Rel
PROREL##cpos=PRO|g=m|n=s|p=3|s=rel##	Pro:3Mas+SG+Rel
PROWH##cpos=PRO|g=f|n=p|p=3|s=int##	Pro:3Fem+PL+Interro
PROWH##cpos=PRO|g=m|n=p|p=3|s=int##	Pro:3Mas+PL+Interro
PROWH##cpos=PRO|g=m|n=s|p=3|s=int##	Pro:3Mas+SG+Interro
SENT	SENT:
Sint	Sint:
Srel	Srel:
Ssub	Ssub:
V##cpos=V|m=ind|mwehead=ADJ+|n=s|p=3|t=pst|pred=y##	Ver:IPre+SG+P3
V##cpos=V|m=ind|mwehead=ADV+|n=s|p=3|t=pst|pred=y##	Ver:IPre+SG+P3
V##cpos=V|m=ind|mwehead=NC+|n=s|p=3|t=pst|pred=y##	Ver:IPre+SG+P3
V##cpos=V|m=ind|mwehead=V+|n=p|p=3|t=impft|pred=y##	Ver:IImp+PL+P3
V##cpos=V|m=ind|mwehead=V+|n=p|p=3|t=pst|pred=y##	Ver:IPre+PL+P3
V##cpos=V|m=ind|mwehead=V+|n=s|p=3|t=pst|pred=y##	Ver:IPre+SG+P3
V##cpos=V|m=ind|mwehead=VPP+|n=s|p=3|t=pst|pred=y##	Ver:IPre+SG+P3
V##cpos=V|m=ind|n=p|p=1|t=fut##	Ver:IFut+PL+P1
V##cpos=V|m=ind|n=p|p=1|t=pst##	Ver:IPre+PL+P1
